m,μ,D,N_mean,alphau_mean,betau_mean,Q_ST_u_mean,N_std,alphau_std,betau_std,Q_ST_u_std,mean_local_clustering_coefficient,var._local_clustering_coefficient,mean_betweenness_centrality,var._betweenness_centrality,mean_edge_betweeness_centrality_nx,var._edge_betweeness_centrality_nx,mean_eigenvector_centrality,var._eigenvector_centrality,mean_rich_club_nx,var._rich_club_nx,mean_closeness_centrality,var._closeness_centrality,density,degree_var.,degree_correlation,cl,mean_neighb._deg.,var._neighb._deg.,smax,s_elasticity,modules,mean_deg._distrib.,var._deg._distrib.,diameter,graph_energy,algebraic_connectivity,kk,sqrtk,sqrtk_inv,heat_hetero
0.009999999776482582,0.10000000149011612,0.05000000074505806,1049.452,0.09886726700134002,0.08831637602480415,0.4824778071702406,5.458042918482751,0.042635989957722685,0.02919958284968587,0.0796484848159401,0.0,0.0,0.19999999999999998,0.05592592592592593,0.2857142857142857,0.0003779289493575217,0.3559166068994169,0.018877263755406982,0.3333333333333333,0.1111111111111111,0.5206091527520098,0.012116635812136739,0.3333333333333333,1.3333333333333333,-0.836065573770494,2.0,3.023809523809524,1.0873015873015872,0.7090909090909091,17.0,2.0,10.5,43.666666666666664,4.0,7.115294582655695,0.5139605971027518,0.7777777777777777,0.9326810030028914,1.0721779437775254,0.6761426951733075
0.009999999776482582,0.10000000149011612,0.05000000074505806,1050.702,0.11310524371991612,0.1613969742983843,0.5895546380026502,4.6643013946356255,0.027256537485427966,0.021788208927804774,0.0868258782488162,0.36190476190476195,0.2057142857142857,0.14285714285714285,0.06544973544973544,0.21428571428571425,0.006154842889536766,0.3470497999420222,0.026149175753569426,0.8035714285714286,0.08555366591080878,0.6098116169544741,0.021186695303649774,0.38095238095238093,2.5714285714285716,-0.7435897435897436,1.7142857142857142,3.9285714285714284,1.4523809523809526,0.6730769230769231,37.0,2.0,14.0,84.0,3.0,7.41855071887384,0.7035395767669483,0.7032967032967032,0.9044112648494046,1.1056916680118,0.8059720872475974
0.009999999776482582,0.10000000149011612,0.05000000074505806,1054.1470000000002,0.09042248652984546,0.09059681742689026,0.4950741235460308,5.789681122479906,0.032016003029658034,0.037607068754279174,0.04969405466104985,0.0,0.0,0.14285714285714285,0.06174603174603174,0.2142857142857143,0.0038872691933916413,0.3603248320741477,0.015193684622526876,0.326984126984127,0.09218442932728646,0.6003710575139146,0.014849448634235271,0.38095238095238093,1.9047619047619049,-0.8235294117647058,1.7142857142857142,3.6571428571428575,1.8228571428571427,0.651685393258427,31.0,2.0,14.0,84.0,3.0,7.183029858093683,0.867362506420161,0.7619047619047619,0.9308893660613928,1.0742415118898772,0.8071814598855415
0.009999999776482582,0.10000000149011612,0.05000000074505806,1048.344,0.09892355453613008,0.13929240566604933,0.5670063026869968,2.9812631551072224,0.019670943660976204,0.06535736750531979,0.07840210968338587,0.5285714285714286,0.22238095238095243,0.11428571428571428,0.06809523809523808,0.1746031746031746,0.00566893424036281,0.3517443598169141,0.022321889559820812,0.7821428571428573,0.07556122448979594,0.6629870129870129,0.02677981109799292,0.42857142857142855,3.285714285714286,-0.7812499999999993,1.5714285714285714,4.571428571428571,2.285714285714286,0.6274509803921569,61.0,2.0,21.0,18.0,2.0,7.523846715032149,1.0000000000000004,0.7012987012987014,0.9073147073813191,1.1021534114510148,0.9485106899902815
0.009999999776482582,0.10000000149011612,0.05000000074505806,1052.375,0.13392533024333397,0.12657447360096974,0.480227985391528,3.3997334454336237,0.0329337414713446,0.04418736710346729,0.0616182722634499,0.0,0.0,0.1619047619047619,0.03596119929453264,0.22619047619047616,0.0013497462477054314,0.3588368417195583,0.016442141195521374,0.24523809523809523,0.0881859410430839,0.5700680272108842,0.010232156354605334,0.38095238095238093,1.5714285714285714,-0.9310344827586207,1.8095238095238095,3.357142857142857,1.205357142857143,0.7272727272727273,21.0,2.0,10.5,78.33333333333333,4.0,7.291502622129175,0.697224362268005,0.7950310559006211,0.9367115021913522,1.067564557134817,0.7856854011445847
0.009999999776482582,0.10000000149011612,0.05000000074505806,1047.0430000000001,0.10939997882416048,0.12081815945073915,0.5252433515156013,4.58852590708603,0.029610119339482485,0.03229096694957849,0.08103052105109027,0.5142857142857142,0.22142857142857145,0.12380952380952381,0.04470899470899472,0.17989417989417986,0.0038422776518014607,0.35045418191495475,0.023378844108039632,0.8257142857142858,0.06616326530612247,0.6448979591836734,0.023022351797861995,0.42857142857142855,2.9523809523809526,-0.7752293577981646,1.619047619047619,4.257142857142857,1.6095238095238098,0.6884057971014492,43.0,2.0,14.0,112.0,3.0,7.621232784634288,0.8074175964327475,0.7232142857142859,0.911162210242032,1.0974994229999617,0.9246795702407944
0.009999999776482582,0.10000000149011612,0.05000000074505806,1049.3619999999999,0.14540540097829366,0.08510732571673639,0.3782860872917073,4.310460532240134,0.04769623525917478,0.019119537510671077,0.04572259621460527,0.0,0.0,0.12380952380952381,0.03693121693121693,0.17989417989417988,0.0021415973796926175,0.36377087869601443,0.012282539114851299,0.24047619047619045,0.07893424036281178,0.6319727891156461,0.012235179786200192,0.42857142857142855,1.9523809523809526,-0.9367088607594943,1.619047619047619,3.8285714285714287,1.7723809523809522,0.6936936936936937,34.0,2.0,14.0,112.0,3.0,7.21110255092797,0.9486257582689631,0.7980295566502463,0.9417123384388891,1.06189539966922,0.8730355793110892
0.009999999776482582,0.10000000149011612,0.05000000074505806,1052.315,0.11136886231336232,0.09491211282348656,0.4591256385413051,6.342276799383582,0.03503285349207132,0.03477467910830619,0.1004276155997073,0.6666666666666667,0.18666666666666668,0.10476190476190476,0.04126984126984127,0.1523809523809524,0.0029226505416981604,0.35575190005377333,0.019014016542818438,0.8152380952380952,0.06592290249433105,0.6860853432282005,0.02953714189335711,0.47619047619047616,3.4761904761904763,-0.8051575931232088,1.5238095238095237,4.733333333333333,2.2422222222222223,0.6631016042780749,66.0,1.0,21.0,2.0,2.0,7.620386170314846,1.0,0.7326007326007327,0.9189307806578794,1.0882212469627819,1.0201282258935318
0.009999999776482582,0.10000000149011612,0.05000000074505806,1048.057,0.10762965664247467,0.09625592334663527,0.47474841664923506,2.611198479625801,0.03484294854026972,0.024608110745787844,0.06517807824249042,0.0,0.0,0.10476190476190475,0.024380952380952378,0.15238095238095237,0.0,0.36873411858345573,0.008041008091229063,0.19047619047619047,0.06802721088435373,0.673469387755102,0.01574344023323615,0.47619047619047616,2.142857142857143,-1.0,1.5238095238095237,4.142857142857143,2.142857142857143,0.6896551724137931,45.0,1.0,21.0,2.0,2.0,6.324555320336756,1.999999999999999,0.8163265306122449,0.9517539514526258,1.0506917239205975,0.9276009610193284
0.009999999776482582,0.10000000149011612,0.05000000074505806,1048.789,0.10134190764343103,0.08632067118776737,0.46564525421000535,3.215648068430411,0.050945441020182634,0.03445523322137577,0.09522803894002019,0.8095238095238094,0.10582010582010583,0.09523809523809523,0.026455026455026454,0.13419913419913418,0.0008245722531436813,0.3610985109227066,0.014542509644304454,0.8412698412698413,0.06046863189720333,0.7142857142857143,0.0380952380952381,0.5238095238095238,3.809523809523809,-0.8333333333333326,1.4761904761904763,5.047619047619047,2.6455026455026456,0.6610169491525424,80.0,1.0,21.0,2.0,2.0,7.403124237432838,2.0,0.7515527950310559,0.9304028071607477,1.0748032919759105,1.0788130331497678
