m,μ,D,N_mean,betau_mean,gammau_mean,Q_TS_u_mean,N_std,betau_std,gammau_std,Q_TS_u_std,N,betau,gammau,Q_TS_u,mean_local_clustering_coefficient,var._local_clustering_coefficient,mean_betweenness_centrality,var._betweenness_centrality,mean_edge_betweeness_centrality_nx,var._edge_betweeness_centrality_nx,mean_eigenvector_centrality,var._eigenvector_centrality,mean_rich_club_nx,var._rich_club_nx,mean_closeness_centrality,var._closeness_centrality,density,degree_var.,degree_correlation,cl,mean_neighb._deg.,var._neighb._deg.,smax,s_elasticity,modules,mean_deg._distrib.,var._deg._distrib.,diameter,graph_energy,algebraic_connectivity,kk,sqrtk,sqrtk_inv,heat_hetero
0.3448275923728943,0.10000000149011612,0.05000000074505806,943.225,0.00347253927348651,0.0988319045064275,0.03550911043625452,4.437827452706987,0.0007610260982605949,0.0248574531749298,0.003190405255759875,"[938.095, 943.83, 950.175, 941.36, 942.665]","[0.002904373032100742, 0.004059314181012327, 0.0037961854754828372, 0.002439376701638416, 0.004163446977198229]","[0.08980511291849508, 0.1070637648671852, 0.10526143781365668, 0.06236113296813449, 0.12966807396466593]","[0.03234084271723682, 0.03791492094499002, 0.03606435133636677, 0.03911694008004789, 0.032108497102631084]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37931033968925476,0.10000000149011612,0.05000000074505806,935.2209999999999,0.0030462672091387134,0.09057030528865645,0.03318838981696802,4.443021775773778,0.001141259836298744,0.028926293342892494,0.0034180011636422473,"[928.0, 937.685, 936.305, 934.525, 939.59]","[0.00384387610542902, 0.0018316068774452254, 0.0034539750966165682, 0.004261733559094307, 0.0018401444071084474]","[0.11344209649438738, 0.059882478463747696, 0.11186108241732028, 0.10969776314272081, 0.057968105925106095]","[0.03388403621066011, 0.030586691206411293, 0.030877361652293146, 0.0388497763035481, 0.03174408371192748]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4137931168079376,0.10000000149011612,0.05000000074505806,921.249,0.00365161359408959,0.11435715002864463,0.031809452358147396,2.865203744936834,0.0009229557007670303,0.020444546363654247,0.00432118984345335,"[917.425, 921.54, 919.635, 924.89, 922.755]","[0.002717678135242261, 0.003138731944251835, 0.004555947385876412, 0.003114417811311272, 0.00473129269376617]","[0.08796603479850063, 0.09837043874743405, 0.12436740256861195, 0.12361934308402248, 0.13746253094465413]","[0.030894630427158728, 0.03190726791725027, 0.03663297047120488, 0.025193612371766465, 0.03441878060335662]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4482758641242981,0.10000000149011612,0.05000000074505806,909.9110000000001,0.00292259533834772,0.10700742169427539,0.027605963982212718,5.297663871934494,0.0006327962566851923,0.027216311828023896,0.002586325161228514,"[910.75, 915.185, 914.715, 903.72, 905.185]","[0.0035616044049593017, 0.0019575979640873704, 0.0026433523604324294, 0.003202376849547482, 0.0032480451127120157]","[0.12972600621114305, 0.07247732043088263, 0.08263153368231281, 0.1267595110038926, 0.12344273714314587]","[0.027454821966556242, 0.027009800478954196, 0.03198963207672177, 0.025263404885248742, 0.026312160503582635]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48275861144065857,0.10000000149011612,0.05000000074505806,898.383,0.0017620571523903998,0.07273014122018578,0.024201378096344654,6.585486504427725,0.0004031092785697009,0.016186439840181234,0.0003266558566006994,"[890.745, 903.28, 893.215, 906.41, 898.265]","[0.0015656495661339324, 0.002239798345951691, 0.001427124831202445, 0.0014217327542641637, 0.002155980264399766]","[0.06377166699948834, 0.09126553318697325, 0.05979144725882813, 0.05939224522278245, 0.08942981343285673]","[0.024550864667635144, 0.024541557669564878, 0.023868377445768082, 0.023938020004652005, 0.024108070694103156]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.517241358757019,0.10000000149011612,0.05000000074505806,889.2460000000001,0.002070844344672941,0.0941809425809769,0.02206887862598557,3.372649922538682,0.0006444317155364817,0.0294604752117454,0.0018876192639487172,"[892.445, 889.945, 891.1, 883.65, 889.09]","[0.0025169555151875315, 0.0029071962403975516, 0.0013514884080759015, 0.001581142406362175, 0.0019974391533415462]","[0.11966110535015352, 0.12843532456748277, 0.06781034867683741, 0.06340832863672191, 0.09158960567368891]","[0.021034031967383144, 0.022635487940625292, 0.019930415260311758, 0.024935878935097525, 0.02180857902651014]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5517241358757019,0.10000000149011612,0.05000000074505806,881.351,0.0017222062276595965,0.08244065370800058,0.020964296682188282,6.6187143766746805,0.0004420834836304222,0.022499413842121844,0.0009929568435843362,"[879.985, 885.605, 884.455, 886.345, 870.365]","[0.0018735695821829371, 0.0015348291801899935, 0.0017371945568694243, 0.0011313519167473532, 0.0023340859023082733]","[0.08614375907516475, 0.06901289826152278, 0.0874120873801136, 0.054860082459902954, 0.11477444136329876]","[0.021749336252532857, 0.022239743857355387, 0.019873619415072326, 0.020622497561396384, 0.02033628632458446]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5862069129943848,0.10000000149011612,0.05000000074505806,864.1049999999999,0.0020767777900605484,0.11260293587875658,0.01843040333593792,1.7415617990757535,0.0004774949627029165,0.02492438721473188,0.0006057531670941581,"[861.57, 863.15, 865.695, 865.535, 864.575]","[0.0020022599569366295, 0.001492758603365196, 0.0018456562045198884, 0.002762657953967492, 0.0022805562315135358]","[0.113000383428686, 0.08197257578848667, 0.09629310999523977, 0.14580908535897952, 0.12593952482239096]","[0.017719054539317082, 0.018210463548406136, 0.019167064025776382, 0.018947090623097147, 0.018108343943092856]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6206896305084229,0.10000000149011612,0.05000000074505806,856.926,0.0015939780108584398,0.09006613254455507,0.01775433250006867,4.893166663828244,0.0005045519630094265,0.028817592080877343,0.0008982270247628953,"[859.095, 855.975, 856.08, 850.055, 863.425]","[0.0015832436455315547, 0.0019244388365926898, 0.0021200244122027753, 0.0008005646131113687, 0.0015416185468538105]","[0.09029214309949131, 0.10110348892172805, 0.12273636986816465, 0.04393825698688211, 0.0922604038465093]","[0.017534677893147433, 0.019034346461401994, 0.017272992630301565, 0.018220217824079354, 0.016709427691413016]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6551724076271057,0.10000000149011612,0.05000000074505806,846.891,0.0016649801301863991,0.10155068116996913,0.016380213714680004,4.827130876618103,0.00024986359461411924,0.013939379619770455,0.0006049192820656353,"[848.34, 852.51, 839.205, 847.565, 846.835]","[0.0017219167676520688, 0.001806913905086058, 0.0015854441348411056, 0.00127905078748635, 0.0019315750558664144]","[0.1087160931652791, 0.10474942580476539, 0.09999773766027126, 0.07878179945847215, 0.11550834976105781]","[0.01583865569041623, 0.017249869306718967, 0.015854800037851224, 0.01623535888083604, 0.016722384657577548]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
